Sentence	Entity	Entity(JA)	Eno.	Event	Bel(A)R	Bel(B)R	CG(A)R	CG(B)R	Pragmatics	Bel(A)	Bel(B)	CG(A)	CG(B)	Why(CG)	Why in prose	Comment
A: %um but although they solicit, they’re trying to solicit more throughout the, throughout the globe instead of just &Japan 	they= the company		1.1	Although the company solicits, the company is trying to solicit more throughout the globe instead of just Japan						CT+ 1.1	CT+ 1.1	JA 1.1	JA 1.1			
			1.2	The company solicits						CT+ 1.2	CT+ 1.2	IN 1.2	IN 1.2	LI	embeddiing it under 'although' suggests that this hsa already been part of the CG	
			1.3	The company is trying to solicit more throughout the globe instead of just Japan						CT+ 1.3	CT+ 1.3	JA 1.3	JA 1.3			
B: mhm.  			2						mhm = B acknowledges 1							
A: although they’ve had most interest in &Japan.  	they=the company		3	The company have had most interest in Japan						CT+ 3	CT+ 3	JA 3	JA 3			
B: mhm.  			4						mhm= B acknowledges 3							
A: And I teach probably two classes and then do administrative work to make connections for these people to have tours 	I=A		5.1	A teaches two classes						CT+ 5.1	CT+ 5.1	JA 5.1	JA 5.1			
			5.2	A does administrative work to make connections for the company representatives to have tours						CT+ 5.2	CT+ 5.2	JA 5.2	JA 5.2			
			5.3	A does administrative work						CT+ 5.3	CT+ 5.3	JA 5.3	JA 5.3			
			5.4	A makes connections for the company representative to have tours						CT+ 5.4	CT+ 5.4	JA 5.4	JA 5.4			
A: or to go look at companies dealing with certain issues that they’re working on in their classes. {breath} Half of their classes are business half are English Eng- English business 	they=A's students,their=A's students'		6.1	A does administrative work to go look at companies dealing with certain issues that A's students are working on in A's students classes						CT+ 6.1	CT+ 6.1	JA 6.1	JA 6.1			
			6.2	A looks at companies dealing with certain issues that A's students are working on in A's students classes						CT+ 6.2	CT+ 6.2	JA 6.2	JA 6.2			
			6.3	A's students are working on certain issues in A's students classes						CT+ 6.3	CT+ 6.3	JA 6.3	JA 6.3			
			6.4	Half of A's students classes are business half English						CT+ 6.4	CT+ 6.4	JA 6.4	JA 6.4			
B: mhm [distorted] 			7						mhm = B acknowledges 5 and 6							
B: mhm.  			8						repetition of 7							
B: mhm.  			9						repetition of 7							
A: mhm 			10						mhm = interjection							
B: (( )) 			11													
A: So it’s really groovy because I ((mean)) I have all these contacts for them because of my experience in the business world here.  	I=A,it=5.2 and 6.1,my=A's		12.1	5.2 and 6.1 are really groovy because A has all these contact for them because of A's experience in the business world here						CT+ 12.1	CT+ 12.1	JA 12.1	JA 12.1			
			12.2	5.2 and 6.1 are really groovy						CT+ 12.2	CT+ 12.2	JA 12.2	JA 12.2			
			12.3	 A has all these contact for them because of A's experience in the business world here						CT+ 12.3	CT+ 12.3	JA 12.3	JA 12.3			
			12.4	A has experience in the business world here						CT+ 12.4	CT+ 12.4	IN 12.4	IN 12.4	C		
B: yeah. yeah.  			13						yeah. yeah.  = B confirms 12.4							
A: And you know and I do a little teaching for them too.  	I=A,them=A's students		14	A does a little teaching for A's students too					you know = interjection	CT+ 14	CT+ 14	JA 14	JA 14			
B: okay. What classes did you teach at (( )) that would be related? 	you=A		15.1	B asks A what classes B taught that would be related						CT+ 15.1	CT+ 15.1	JA 15.1	JA 15.1			
			15.2	B taught classes that would be related						CT+ 15.2	CT+ 15.2	IN 15.2	IN 15.2	LI	wh questions contains presupposition	
A: I taught, okay. I taught  	I=A		16						unfinished utterance							
A: I taught business English.  	I=A		17	A taught business English						CT+ 17	CT+ 17	JA 17	JA 17			
B: uh-huh.  			18						uh-huh.  = B acknowledges 17							
A: I taught listening. I taught integrated skills and g- beginning grammar.  	I=A		19.1	A taught listening						CT+ 19.1	CT+ 19.1	JA 19.1	JA 19.1			
			19.2	A taught integrated skills and beginning grammar						CT+ 19.2	CT+ 19.2	JA 19.2	JA 19.2			
B: okay.  			20						okay.  = B acknowledges 19							
B: mhm. I’m just writing this down so I 	I=A,this=what A is teaching		21	B is writing down what A is teaching 						CT+ 21	CT+ 21	JA 21	JA 21			
A: Cool.  			22						Cool.  = A expresses approval of 21							
A: You don’t have to tell them about (( )) or anything. {breath} oh weird.  	You=B,them=?		23	B does not have to tell them (?) about what A is teaching or anything						CT+ 23	CT+ 23	JA 23	JA 23			
B: {laugh}  			24						B laughs at 23							
A: You know what? 	You=B		25	 					You know what = A indicates that A is about to say something exciting							
B: What? 			26						What? = B is asking what A is about to say							
A: I had a dream this morning about, 	I=A		27	A had a dream this morning						CT+ 27	CT+ 27	JA 27	JA 27			
A: it’s weird. I don’t know if you were in it. I think you were.  	it=A's dream,I=A,you=B		28.1	A's dream is weird						CT+ 28.1	CT+ 28.1	JA 28.1	JA 28.1			
			28.2	A doesn't  know if B was in A's dream						CT+ 28.2	CT+ 28.2	JA 28.2	JA 28.2			
			28.3	B was in A's dream						PS 28.3	PS 28.3	JA 28.3	JA 28.3			
			28.4	A thinks that B was in A's dream						CT+ 28.4	CT+ 28.4	JA 28.4	JA 28.4			
B: %huh.  			29						huh. = B expresses slight surprise  							
A: But &Barry was definitely in it.  			30	Barry was definitely in A's dream						CT+ 30	CT+ 30	JA 30	JA 30			
B: yeah.  			31						yeah.  = B acknowledges 30							
A: And &Barry and I 	I=A		32													
A: I don’t know. We were trying to get somewhere and we had to jump in this water but she wouldn’t let go of me when we got in the water and I woke up because I start drowning. {laugh} 	I=A,We=Barry and A,she=Barry,me=A		33.1	In A's dream, Barry and A were trying to get somewhere					I don’t know = A is trying to remember A's dream	CT+ 33.1	CT+ 33.1	JA 33.1	JA 33.1			
			33.2	In A's dream, Barry and A had to jump in this water but Barry would not let go of A when Barry and A got in the water						CT+ 33.2	CT+ 33.2	JA 33.2	JA 33.2			
			33.3	In A's dream, Barry and A had to jump in this water						CT+ 33.3	CT+ 33.3	JA 33.3	JA 33.3			
			33.4	In A's dream, Barry would not let go of A when Barry and A got in the water						CT+ 33.4	CT+ 33.4	JA 33.4	JA 33.4			
			33.5	In A's dream, Barry would not let go of A						CT+ 33.5	CT+ 33.5	JA 33.5	JA 33.5			
			33.6	In A's dream, Barry and A got in the water						CT+ 33.6	CT+ 33.6	JA 33.6	JA 33.6			
			33.7	A woke up because A started drowning in A's dream						CT+ 33.7	CT+ 33.7	JA 33.7	JA 33.7			
			33.8	A woke up						CT+ 33.8	CT+ 33.8	JA 33.8	JA 33.8			
			33.9	A started drowning in A's dream 						CT+ 33.9	CT+ 33.9	JA 33.9	JA 33.9			
B: {laugh} 			34						B laughs at A's dream							
A: {breath} I don’t know what that means. I got a postcard from her too the other day 	I=A,that=A's dream,her=Barry		35.1	A doesn't know what A's dream mean						CT+ 35.1	CT+ 35.1	JA 35.1	JA 35.1			
			35.2	A's dream means something						CT+ 35.2	CT+ 35.2	IN 35.2	IN 35.2	LI	embedded under 'know'	
			35.3	A got a postcard from Barry too the other day						CT+ 35.3	CT+ 35.3	JA 35.3	JA 35.3			
B: ((That’s a)) [distorted] 			36													
